term	estimate	std.error	conf.level	conf.low	conf.high	statistic	df.error	p.value	label	Type
Years (1st degree)	1.664778029445727	0.28605106141428244	0.95	1.1033724229761401	2.226183635915314	5.819863143366072	899	8.188158008531575e-9	list(~widehat(italic(beta))=='1.66', ~italic(t)('899')=='5.82', ~italic(p)=='8.19e-09')	GitHub stars
Years (2nd degree)	5.087432754624628	0.6062464315900314	0.95	3.8976097072495244	6.277255801999733	8.391691050917323	899	1.8456456060043283e-16	list(~widehat(italic(beta))=='5.09', ~italic(t)('899')=='8.39', ~italic(p)=='1.85e-16')	GitHub stars
Years (3rd degree)	2.838953295054652	0.7068814822883681	0.95	1.4516232662683737	4.22628332384093	4.0161658866266885	899	6.409219803271423e-5	list(~widehat(italic(beta))=='2.84', ~italic(t)('899')=='4.02', ~italic(p)=='6.41e-05')	GitHub stars
Platform (R)	0.23654098245310168	0.1855370197826407	0.95	-0.12759513575824782	0.6006771006644511	1.2748991157140115	899	0.20267434474210994	list(~widehat(italic(beta))=='0.24', ~italic(t)('899')=='1.27', ~italic(p)=='0.203')	GitHub stars
Platform (Python)	0.7837276006562733	0.1943818494581173	0.95	0.40223256427300474	1.165222637039542	4.031897025576661	899	6.001996396755613e-5	list(~widehat(italic(beta))=='0.78', ~italic(t)('899')=='4.03', ~italic(p)=='6e-05')	GitHub stars
Platform (Both)	0.8487857696886176	0.2625331531545881	0.95	0.3335365574101644	1.364034981967071	3.233061270508662	899	0.0012693227963930436	list(~widehat(italic(beta))=='0.85', ~italic(t)('899')=='3.23', ~italic(p)=='0.001')	GitHub stars
Has repository	0.010058609285920284	0.11594192314996983	0.95	-0.2174897359620974	0.23760695453393796	0.08675558428429347	899	0.9308851118129239	list(~widehat(italic(beta))=='0.01', ~italic(t)('899')=='0.09', ~italic(p)=='0.931')	GitHub stars
Has license	0.45083953195298804	0.1298392977057771	0.95	0.19601611227503002	0.7056629516309461	3.47228874400272	899	5.406382168515849e-4	list(~widehat(italic(beta))=='0.45', ~italic(t)('899')=='3.47', ~italic(p)=='0.001')	GitHub stars
Publications	0.3506987335034902	0.10093172015707805	0.95	0.15260950675268242	0.548787960254298	3.4746136591916263	899	5.360366599811457e-4	list(~widehat(italic(beta))=='0.35', ~italic(t)('899')=='3.47', ~italic(p)=='0.001')	GitHub stars
Preprints	0.5058375757195168	0.09044469035344851	0.95	0.3283302594075749	0.6833448920314588	5.592783542546895	899	2.9649460921193386e-8	list(~widehat(italic(beta))=='0.51', ~italic(t)('899')=='5.59', ~italic(p)=='2.96e-08')	GitHub stars
log<sub>2</sub>(Contributors + 1)	0.8928660194298262	0.07286416635617346	0.95	0.7498623497323923	1.03586968912726	12.253842513826793	899	4.9146911904785376e-32	list(~widehat(italic(beta))=='0.89', ~italic(t)('899')=='12.25', ~italic(p)=='4.91e-32')	GitHub stars
